ID	Stromal_score	Immune_score	ESTIMATE_score	CancerType
TCGA-FD-A62O-01	-1105.131706	-472.2547347	-1577.38644	BLCA
TCGA-LT-A5Z6-01	-1963.775344	31.630676	-1932.144668	BLCA
TCGA-FD-A3B8-01	1311.781987	2611.447736	3923.229723	BLCA
TCGA-FJ-A3ZE-01	-2189.599079	-1065.505899	-3255.104977	BLCA
TCGA-ZF-A9RM-01	-2618.936607	-953.7699248	-3572.706532	BLCA
TCGA-UY-A78L-01	-526.0777294	121.3601311	-404.7175983	BLCA
TCGA-DK-A2I1-01	483.3580503	1086.595058	1569.953108	BLCA
TCGA-FD-A62S-01	875.0353032	1319.985446	2195.020749	BLCA
TCGA-XF-AAMZ-01	-1207.766455	223.6066086	-984.1598467	BLCA
TCGA-FD-A3SM-01	-177.6787532	-55.4882088	-233.166962	BLCA
TCGA-E7-A85H-01	-750.4407753	499.7573699	-250.6834054	BLCA
TCGA-E7-A678-01	-1981.288687	-21.8900317	-2003.178718	BLCA
TCGA-BT-A20X-01	-552.3842747	389.3834523	-163.0008224	BLCA
TCGA-FD-A3N6-01	-1288.412222	230.9157249	-1057.496498	BLCA
TCGA-CF-A47T-01	-1473.523063	-616.8712793	-2090.394343	BLCA
TCGA-4Z-AA7W-01	-317.7728043	2351.028635	2033.255831	BLCA
TCGA-C4-A0F6-01	-648.6630699	66.4949074	-582.1681624	BLCA
TCGA-4Z-AA7S-01	-1569.815957	-713.8988189	-2283.714776	BLCA
TCGA-UY-A78K-01	-690.7023087	1663.22109	972.5187816	BLCA
TCGA-4Z-AA87-01	-965.604632	605.4245209	-360.1801111	BLCA
TCGA-DK-A3IN-01	105.3666117	902.6142451	1007.980857	BLCA
TCGA-CU-A0YO-01	-671.7479587	754.3072671	82.5593084	BLCA
TCGA-ZF-A9R5-01	-1857.838118	-182.6258524	-2040.463971	BLCA
TCGA-ZF-A9R1-01	-1428.326131	-198.7346781	-1627.060809	BLCA
TCGA-CF-A47S-01	-1647.496008	157.2833358	-1490.212673	BLCA
TCGA-FD-A62N-01	1027.221339	2927.583649	3954.804989	BLCA
TCGA-YC-A89H-01	-854.4113807	295.4352931	-558.9760876	BLCA
TCGA-GU-A42R-01	-1776.825897	-683.395838	-2460.221735	BLCA
TCGA-CF-A47X-01	-1924.708494	-661.2542619	-2585.962756	BLCA
TCGA-2F-A9KQ-01	-1432.512163	-646.5652374	-2079.077401	BLCA
TCGA-DK-A1A7-01	-1290.543081	3.1559873	-1287.387094	BLCA
TCGA-LT-A8JT-01	-1623.804241	94.7502146	-1529.054027	BLCA
TCGA-GV-A6ZA-01	-1553.802678	269.5003823	-1284.302295	BLCA
TCGA-FD-A5BT-01	1232.240732	2275.101872	3507.342604	BLCA
TCGA-GV-A3QH-01	-2367.034092	-791.7062443	-3158.740337	BLCA
TCGA-SY-A9G0-01	801.7052039	610.0974353	1411.802639	BLCA
TCGA-BT-A2LD-01	-847.2592419	155.7666815	-691.4925604	BLCA
TCGA-DK-A1AC-01	-278.4970736	855.6628924	577.1658187	BLCA
TCGA-FD-A6TD-01	-34.8144118	1454.69479	1419.880379	BLCA
TCGA-DK-AA77-01	-1592.99858	384.6128	-1208.38578	BLCA
TCGA-XF-A8HC-01	-2173.774983	-1062.674013	-3236.448996	BLCA
TCGA-PQ-A6FN-01	-776.4024087	633.2464684	-143.1559403	BLCA
TCGA-XF-A9SL-01	809.2980782	1891.831257	2701.129335	BLCA
TCGA-GC-A6I1-01	-388.9845103	2246.419224	1857.434713	BLCA
TCGA-FD-A5BX-01	566.1843485	1684.906375	2251.090723	BLCA
TCGA-BT-A20V-01	-1749.029045	451.4545731	-1297.574472	BLCA
TCGA-FD-A6TA-01	216.181522	1097.499637	1313.681159	BLCA
TCGA-GV-A3JW-01	-1737.151343	-1106.013581	-2843.164924	BLCA
TCGA-CF-A1HS-01	-872.6791838	601.7263301	-270.9528537	BLCA
TCGA-CU-A5W6-01	-1169.177605	87.0778533	-1082.099752	BLCA
TCGA-FD-A6TC-01	-8.7255811	66.0970529	57.3714718	BLCA
TCGA-GC-A3I6-01	-779.0727148	748.1733215	-30.8993933	BLCA
TCGA-FD-A6TH-01	-269.9561616	101.9639713	-167.9921903	BLCA
TCGA-K4-A83P-01	800.4056962	2405.458534	3205.86423	BLCA
TCGA-BT-A20N-01	-1280.115001	-714.4833454	-1994.598346	BLCA
